"comp_val","accronyme","title","title_en","type","francais","source","english","type_en","simple"
"site","essipit_culture_patrimoine","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Culture et patrimoine","0024","Culture and heritage","Innu Nation of Essipit","Culture et patrimoine"
"site","essipit_peche_traditionnelle","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Pêche traditionnelle","0024","Traditional fishing","Innu Nation of Essipit","Pêche traditionnelle"
"site","essipit_chasse_oiseaux","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Chasse aux oiseaux migrateurs","0024","Migratory bird hunting","Innu Nation of Essipit","Chasse aux oiseaux migrateurs"
"site","essipit_chasse_phoque","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Chasse aux phoques","0024","Seal hunting","Innu Nation of Essipit","Chasse aux phoques"
"site","essipit_peche_commerciale","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Pêche commerciale","0024","Commercial fishing","Innu Nation of Essipit","Pêche commerciale"
"site","essipit_tourisme","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Activités touristiques","0024","Tourist activities","Innu Nation of Essipit","Activités touristiques"
"site","essipit_acces_eau","Sites d’intérêt","Areas of interest","Nation des Innus d’Essipit","Accès au plan d'eau","0024","Access to the waterbody","Innu Nation of Essipit","Accès au plan d'eau"
"site","wolastoqiyik_wahsipekuk_peche_commerciale","Sites d’intérêt","Areas of interest","Nation Wolastoqiyik Wahsipekuk","Pêche commerciale","0022,0025","Commercial fishing","Wolastoqiyik Wahsipekuk Nation","Pêche commerciale"
"site","wolastoqiyik_wahsipekuk_observation_beluga","Sites d’intérêt","Areas of interest","Nation Wolastoqiyik Wahsipekuk","Observation du béluga","0072","Beluga whale watching","Wolastoqiyik Wahsipekuk Nation","Observation du béluga"
"site","wolastoqiyik_wahsipekuk_developpement_portuaire","Sites d’intérêt","Areas of interest","Nation Wolastoqiyik Wahsipekuk","Développement portuaire","0072","Port development","Wolastoqiyik Wahsipekuk Nation","Développement portuaire"
"site","kahnawake_culture_patrimoine","Sites d’intérêt","Areas of interest","Nation Mohawk de Kahnawà:ke","Culture et patrimoine","0032","Culture and heritage","Mohawk Nation of Kahnawà:ke","Culture et patrimoine"
"site","kahnawake_chasse","Sites d’intérêt","Areas of interest","Nation Mohawk de Kahnawà:ke","Chasse à la sauvagine","0032","Waterfowl hunting","Mohawk Nation of Kahnawà:ke","Chasse à la sauvagine"
"site","kahnawake_peche_rivage","Sites d’intérêt","Areas of interest","Nation Mohawk de Kahnawà:ke","Pêche de rivage","0032","Shoreline fishing","Mohawk Nation of Kahnawà:ke","Pêche de rivage"
"site","kahnawake_peche_offshore","Sites d’intérêt","Areas of interest","Nation Mohawk de Kahnawà:ke","Pêche en eau libre","0032","Open water fishing","Mohawk Nation of Kahnawà:ke","Pêche en eau libre"
"site","kahnawake_sssm","Sites d’intérêt","Areas of interest","Nation Mohawk de Kahnawà:ke","Seigneurie du Sault-Saint-Louis","0032","Seigneurie du Sault-Saint-Louis","Mohawk Nation of Kahnawà:ke","Seigneurie du Sault-Saint-Louis"
"site","kahnawake_traffic","Sites d’intérêt","Areas of interest","Nation Mohawk de Kahnawà:ke","Navigation","0032","Shipping","Mohawk Nation of Kahnawà:ke","Navigation"
"site","kahnawake_vegatation","Sites d’intérêt","Areas of interest","Nation Mohawk de Kahnawà:ke","Récolte de végétation","0032","Harvesting of vegetation","Mohawk Nation of Kahnawà:ke","Récolte de végétation"
"site","public_milieu_protege","Sites d’intérêt","Areas of interest","Public","Milieux protégés","0030,0038,0039,0082","Protected areas","Public","Milieux protégés"
"site","public_sites_patrimoniaux","Sites d’intérêt","Areas of interest","Public","Sites patrimoniaux","0044,0045","Heritage sites","Public","Sites patrimoniaux"
"site","huronne_wendat_activite_recreative","Sites d’intérêt","Areas of interest","Nation Huronne-Wendat","Activités rituelles ou sociales","0055","Ritual or social activities","Huron-Wendat Nation","Activités rituelles ou sociales"
"site","huronne_wendat_peche","Sites d’intérêt","Areas of interest","Nation Huronne-Wendat","Pêche","0055","Fishing","Huron-Wendat Nation","Pêche"
"site","huronne_wendat_chasse","Sites d’intérêt","Areas of interest","Nation Huronne-Wendat","Chasse","0055","Hunting","Huron-Wendat Nation","Chasse"
"site","huronne_wendat_vegetaux","Sites d’intérêt","Areas of interest","Nation Huronne-Wendat","Récolte de végétaux","0055","Harvesting of vegetation","Huron-Wendat Nation","Récolte de végétaux"
"site","huronne_wendat_occupation","Sites d’intérêt","Areas of interest","Nation Huronne-Wendat","Occupation du territoire","0055","Land use","Huron-Wendat Nation","Occupation du territoire"
"site","huronne_wendat_archeologie","Sites d’intérêt","Areas of interest","Nation Huronne-Wendat","Archéologie","0055","Archeology","Huron-Wendat Nation","Archéologie"
"site","huronne_wendat_toponymie","Sites d’intérêt","Areas of interest","Nation Huronne-Wendat","Toponymie","0055","Toponymy","Huron-Wendat Nation","Toponymie"
"site","huronne_wendat_histoire","Sites d’intérêt","Areas of interest","Nation Huronne-Wendat","Histoire","0055","History","Huron-Wendat Nation","Histoire"
"site","huronne_wendat_espece_peril","Sites d’intérêt","Areas of interest","Nation Huronne-Wendat","Espèce en péril","0055","Species at risk","Huron-Wendat Nation","Espèce en péril"
"site","gcnwa_gibier","Sites d’intérêt","Areas of interest","Nation W8banaki","Chasse au gibier","0066","Game hunting","W8banaki Nation","Chasse au gibier"
"site","gcnwa_oiseaux_migrateurs","Sites d’intérêt","Areas of interest","Nation W8banaki","Chasse aux oiseaux migrateurs","0066","Migratory bird hunting","W8banaki Nation","Chasse aux oiseaux migrateurs"
"site","gcnwa_animaux_fourrure","Sites d’intérêt","Areas of interest","Nation W8banaki","Trappe d'animaux à fourrure","0066","Fur trapping","W8banaki Nation","Trappe d'animaux à fourrure"
"site","gcnwa_cueillette_collecte","Sites d’intérêt","Areas of interest","Nation W8banaki","Cueillette et collecte de végétaux","0066","Picking and gathering vegetation","W8banaki Nation","Cueillette et collecte de végétaux"
"site","gcnwa_sites_coucher","Sites d’intérêt","Areas of interest","Nation W8banaki","Sites de coucher","0066","Overnight sites","W8banaki Nation","Sites de coucher"
"site","gcnwa_sites_culturels","Sites d’intérêt","Areas of interest","Nation W8banaki","Sites culturels","0066","Cultural sites","W8banaki Nation","Sites culturels"
"site","gcnwa_sites_essentiels","Sites d’intérêt","Areas of interest","Nation W8banaki","Sites essentiels","0066","Essential sites","W8banaki Nation","Sites essentiels"
"site","gcnwa_problemes_territoire","Sites d’intérêt","Areas of interest","Nation W8banaki","Problèmes liés à l'accès au territoire","0066","Access to territory problems","W8banaki Nation","Problèmes liés à l'accès au territoire"
"site","gcnwa_zones_activites","Sites d’intérêt","Areas of interest","Nation W8banaki","Zones d'activités","0066","Activity areas","W8banaki Nation","Zones d'activités"
"site","gcnwa_peche","Sites d’intérêt","Areas of interest","Nation W8banaki","Pêche","0066","Fishing","W8banaki Nation","Pêche"
"site","gcnwa_navigation","Sites d’intérêt","Areas of interest","Nation W8banaki","Navigation","0066","Shipping","W8banaki Nation","Navigation"
"site","gcnwa_sites_archeologiques","Sites d’intérêt","Areas of interest","Nation W8banaki","Sites archéologiques","0067","Archeological sites","W8banaki Nation","Sites archéologiques"
"site","gcnwa_sites_potentiel_archeologique","Sites d’intérêt","Areas of interest","Nation W8banaki","Sites à potentiel archéologique","0068","Sites with archeological potential","W8banaki Nation","Sites à potentiel archéologique"
"site","public_epaves","Sites d’intérêt","Areas of interest","Public","Épaves","0088","Shipwrecks","Public","Épaves"
